zip,count
36567,53
36551,52
48532,47
24586,14
97541,3
24588,19
97544,4
97543,4
24589,4
97540,32
36553,5
36555,6
36556,1
36558,6
12571,28
12572,21
12570,12
36541,45
24553,1
24555,7
24554,3
24557,12
24556,6
24558,13
48529,35
24551,71
24550,12
12575,7
36542,159
36544,20
12574,2
36545,21
12577,4
36548,2
12578,7
36549,32
12582,14
12583,4
12580,11
12581,6
36530,34
24563,11
24566,4
24565,2
48519,31
24569,2
36539,1
24562,3
12586,28
36532,191
12585,2
36535,233
12588,1
12589,30
36538,1
61501,7
61516,1
73505,132
73503,5
73501,40
61520,29
61523,28
61524,1
61525,37
61517,5
61519,1
61530,9
61531,11
61533,7
61534,4
61535,3
61536,5
61537,5
61528,4
61529,9
73507,68
73528,1
73527,12
73526,3
61540,7
73521,54
61542,5
61544,1
61546,14
61547,11
61548,29
73539,2
73538,19
73537,1
61550,44
73533,74
61552,1
73532,2
61553,1
61554,129
61559,3
85501,41
73529,11
12719,3
24701,39
12726,2
12724,2
12725,3
12729,3
12722,1
12723,4
12720,3
12721,17
12701,25
61701,104
61702,1
61704,101
61705,37
48748,5
48747,2
48746,14
48745,5
48744,10
48742,4
12790,13
48741,5
95051,234
71082,9
48749,3
95054,71
34105,219
34104,307
95050,127
34103,211
34102,183
48740,10
36765,1
36766,1
34109,279
34108,348
36769,7
48737,5
48735,1
48734,8
48733,2
48732,14
48731,3
36750,5
48730,13
95045,26
95046,26
22124,55
22125,7
95041,5
48739,19
95042,1
48738,5
95043,3
36759,2
36752,3
36756,9
36758,3
48726,10
48725,8
48723,29
48722,3
48721,1
48720,2
95073,45
48729,7
95075,3
48727,3
95076,259
10118,3
36748,9
95070,142
12779,4
10110,2
36740,2
12771,21
36742,3
12777,3
36744,15
12778,3
12775,11
12776,4
12780,1
95066,100
22101,83
22102,76
95062,121
95064,3
95065,38
10128,101
36738,3
95060,182
12785,3
12783,2
36732,15
12788,4
12789,4
12786,1
36736,2
48703,6
24739,16
48701,3
48708,55
48706,101
48705,1
12759,4
36726,13
36728,1
12758,8
12751,4
12752,1
36720,4
12750,1
12754,16
24747,4
24740,14
12768,3
12762,3
12763,2
12760,1
12766,1
12764,7
12765,5
24715,1
24714,1
24716,1
G6G 6S7,1
24712,1
12737,6
12736,2
12733,2
12734,1
36701,56
12732,4
36703,14
24726,1
12748,6
12746,1
12747,5
12740,7
12741,1
71008,3
97638,1
71006,37
73669,1
71007,2
46048,7
71004,1
97634,1
46049,2
73666,1
97633,5
71003,2
73664,3
73663,3
97630,19
58032,2
71001,9
73662,5
22079,98
97632,2
58030,3
85658,93
58038,1
46044,3
85653,97
85650,65
46040,67
46041,51
71019,7
97627,1
97626,2
46039,2
71018,4
46037,168
97623,8
46038,141
71016,3
97622,5
46035,5
97625,1
46036,48
97624,17
58043,2
73673,3
58046,1
97621,1
58045,2
97620,1
58040,3
58042,3
58041,1
85648,66
85645,8
58047,15
85646,10
85643,27
58049,2
46033,117
85641,165
46034,23
46031,7
46032,139
85640,1
46030,12
71028,5
71029,1
71027,8
10075,38
58054,5
71023,7
58056,1
71021,2
58051,2
58059,6
58058,1
83014,3
83011,1
83013,3
46017,15
71039,4
71037,54
36693,78
46016,61
71038,6
46013,70
36695,189
22066,43
71033,9
97641,1
71034,2
97640,2
58068,1
71032,3
58062,1
71030,3
58063,1
22060,8
46011,52
46012,76
83001,16
95019,16
71049,6
71046,6
95017,2
71047,32
95018,30
22033,102
71044,1
22034,1
71045,4
95012,20
22035,1
58079,1
95013,1
58078,82
95014,230
71040,10
58072,10
22039,54
58075,13
95010,31
22030,134
22031,74
22032,94
46001,137
48662,2
48661,14
95008,155
48659,3
48658,8
48657,16
58081,1
48656,17
95004,17
48655,10
95005,28
48654,5
95006,59
48653,36
95007,1
22044,24
71055,26
22046,25
95002,6
95003,189
71051,11
71052,19
22041,44
22042,64
22043,58
48652,3
10065,53
48651,13
48650,15
10069,10
48649,3
48647,18
95037,216
10031,34
71068,10
95039,2
10030,29
48642,73
